India, 12-07-2016, D, 7.61
India, 13-07-2016, D, 7.50
India, 14-07-2016, D, 7.14
India, 15-07-2016, D, 7.00
India, 16-07-2016, D, 7.03
India, 17-07-2016, D, 7.02
India, 18-07-2016, D, 7.03
India, 19-07-2016, D, 6.95
India, 20-07-2016, D, 7.06
India, 21-07-2016, D, 7.11
India, 22-07-2016, D, 7.26
India, 23-07-2016, D, 7.39
India, 24-07-2016, D, 7.31
India, 25-07-2016, D, 7.38
India, 26-07-2016, D, 7.16
India, 27-07-2016, D, 7.29
India, 28-07-2016, D, 7.25
India, 29-07-2016, D, 7.09
India, 30-07-2016, D, 6.89
India, 31-07-2016, D, 6.85
India, 01-08-2016, D, 6.82
India, 02-08-2016, D, 6.82
India, 03-08-2016, D, 6.95
India, 04-08-2016, D, 6.95
India, 05-08-2016, D, 7.02
India, 06-08-2016, D, 7.23
India, 07-08-2016, D, 7.18
India, 08-08-2016, D, 7.14
India, 09-08-2016, D, 7.14
India, 10-08-2016, D, 7.24
India, 11-08-2016, D, 7.23
India, 12-08-2016, D, 7.41
India, 13-08-2016, D, 7.68
India, 14-08-2016, D, 7.74
India, 16-08-2016, D, 7.92
India, 17-08-2016, D, 7.88
India, 18-08-2016, D, 8.00
India, 19-08-2016, D, 8.12
India, 20-08-2016, D, 8.05
India, 21-08-2016, D, 8.12
India, 22-08-2016, D, 8.30
India, 23-08-2016, D, 8.45
India, 24-08-2016, D, 8.33
India, 25-08-2016, D, 8.88
India, 26-08-2016, D, 8.70
India, 27-08-2016, D, 8.95
India, 28-08-2016, D, 9.43
India, 29-08-2016, D, 9.53
India, 30-08-2016, D, 8.81
India, 31-08-2016, D, 8.98
India, 01-09-2016, D, 9.00
India, 02-09-2016, D, 9.13
India, 03-09-2016, D, 9.22
India, 04-09-2016, D, 9.22
India, 05-09-2016, D, 9.23
India, 06-09-2016, D, 9.15
India, 07-09-2016, D, 9.31
India, 08-09-2016, D, 9.38
India, 09-09-2016, D, 9.36
India, 10-09-2016, D, 9.55
India, 11-09-2016, D, 9.49
India, 12-09-2016, D, 9.26
India, 13-09-2016, D, 9.32
India, 14-09-2016, D, 9.24
India, 15-09-2016, D, 9.29
India, 16-09-2016, D, 9.43
India, 17-09-2016, D, 9.32
India, 18-09-2016, D, 9.05
India, 19-09-2016, D, 9.10
India, 20-09-2016, D, 9.08
India, 21-09-2016, D, 8.90
India, 22-09-2016, D, 8.51
India, 23-09-2016, D, 8.41
India, 24-09-2016, D, 8.44
India, 25-09-2016, D, 8.65
India, 26-09-2016, D, 8.32
India, 27-09-2016, D, 8.19
India, 28-09-2016, D, 8.12
India, 29-09-2016, D, 8.04
India, 30-09-2016, D, 7.64
India, 01-10-2016, D, 7.69
India, 02-10-2016, D, 7.71
India, 03-10-2016, D, 7.60
India, 04-10-2016, D, 7.56
India, 05-10-2016, D, 7.58
India, 06-10-2016, D, 7.70
India, 07-10-2016, D, 7.76
India, 08-10-2016, D, 7.62
India, 09-10-2016, D, 7.69
India, 10-10-2016, D, 7.54
India, 11-10-2016, D, 7.37
India, 12-10-2016, D, 7.53
India, 13-10-2016, D, 7.53
India, 14-10-2016, D, 7.60
India, 15-10-2016, D, 7.72
India, 16-10-2016, D, 7.42
India, 17-10-2016, D, 7.36
India, 18-10-2016, D, 7.32
India, 19-10-2016, D, 7.08
India, 20-10-2016, D, 7.07
India, 21-10-2016, D, 7.03
India, 22-10-2016, D, 7.09
India, 23-10-2016, D, 6.92
India, 24-10-2016, D, 6.88
India, 25-10-2016, D, 6.80
India, 26-10-2016, D, 6.71
India, 27-10-2016, D, 6.48
India, 28-10-2016, D, 6.33
India, 29-10-2016, D, 6.21
India, 31-10-2016, D, 6.09
India, 01-11-2016, D, 6.00
India, 02-11-2016, D, 6.28
India, 03-11-2016, D, 6.15
India, 04-11-2016, D, 5.99
India, 05-11-2016, D, 5.92
India, 06-11-2016, D, 5.89
India, 07-11-2016, D, 5.86
India, 08-11-2016, D, 5.73
India, 09-11-2016, D, 5.77
India, 10-11-2016, D, 5.74
India, 11-11-2016, D, 5.63
India, 12-11-2016, D, 5.68
India, 13-11-2016, D, 5.63
India, 14-11-2016, D, 5.36
India, 15-11-2016, D, 5.39
India, 16-11-2016, D, 5.45
India, 17-11-2016, D, 5.47
India, 18-11-2016, D, 5.55
India, 19-11-2016, D, 5.52
India, 20-11-2016, D, 5.55
India, 21-11-2016, D, 5.45
India, 22-11-2016, D, 5.46
India, 23-11-2016, D, 5.32
India, 24-11-2016, D, 5.34
India, 25-11-2016, D, 5.36
India, 26-11-2016, D, 5.34
India, 27-11-2016, D, 5.36
India, 28-11-2016, D, 5.47
India, 29-11-2016, D, 5.51
India, 30-11-2016, D, 5.56
India, 01-12-2016, D, 5.65
India, 02-12-2016, D, 5.88
India, 03-12-2016, D, 5.01
India, 04-12-2016, D, 5.09
India, 05-12-2016, D, 5.12
India, 06-12-2016, D, 5.15
India, 07-12-2016, D, 5.29
India, 08-12-2016, D, 5.28
India, 09-12-2016, D, 5.16
India, 10-12-2016, D, 5.31
India, 11-12-2016, D, 5.25
India, 12-12-2016, D, 5.15
India, 13-12-2016, D, 5.18
India, 14-12-2016, D, 5.32
India, 15-12-2016, D, 5.80
India, 16-12-2016, D, 5.93
